nome,anno,prezzo,km,categoria
ritz,2014,3.35,27000,auto
sx4,2013,4.75,43000,auto
ciaz,2017,7.25,6900,auto
wagon r,2011,2.85,5200,auto
swift,2014,4.6,42450,auto
vitara brezza,2018,9.25,2071,auto
ciaz,2015,6.75,18796,auto
s cross,2015,6.5,33429,auto
ciaz,2016,8.75,20273,auto
ciaz,2015,7.45,42367,auto
alto 800,2017,2.85,2135,auto
ciaz,2015,6.85,51000,auto
ciaz,2015,7.5,15000,auto
ertiga,2015,6.1,26000,auto
dzire,2009,2.25,77427,auto
ertiga,2016,7.75,43000,auto
ertiga,2015,7.25,41678,auto
ertiga,2016,7.75,43000,auto
wagon r,2015,3.25,35500,auto
sx4,2010,2.65,41442,auto
alto k10,2016,2.85,25000,auto
ignis,2017,4.9,2400,auto
sx4,2011,4.4,50000,auto
alto k10,2014,2.5,45280,auto
wagon r,2013,2.9,56879,auto
swift,2011,3.0,20000,auto
swift,2013,4.15,55138,auto
swift,2017,6.0,16200,auto
alto k10,2010,1.95,44542,auto
ciaz,2015,7.45,45000,auto
ritz,2012,3.1,51439,auto
ritz,2011,2.35,54200,auto
swift,2014,4.95,39000,auto
ertiga,2014,6.0,45000,auto
dzire,2014,5.5,45000,auto
sx4,2011,2.95,49998,auto
dzire,2015,4.65,48767,auto
800,2003,0.35,127000,auto
alto k10,2016,3.0,10079,auto
sx4,2003,2.25,62000,auto
baleno,2016,5.85,24524,auto
alto k10,2014,2.55,46706,auto
sx4,2008,1.95,58000,auto
dzire,2014,5.5,45780,auto
omni,2012,1.25,50000,auto
ciaz,2014,7.5,15000,auto
ritz,2013,2.65,64532,auto
wagon r,2006,1.05,65000,auto
ertiga,2015,5.8,25870,auto
ciaz,2017,7.75,37000,auto
fortuner,2012,14.9,104707,auto
fortuner,2015,23.0,40000,auto
innova,2017,18.0,15000,auto
fortuner,2013,16.0,135000,auto
innova,2005,2.75,90000,auto
corolla altis,2009,3.6,70000,auto
etios cross,2015,4.5,40534,auto
corolla altis,2010,4.75,50000,auto
etios g,2014,4.1,39485,auto
fortuner,2014,19.99,41000,auto
corolla altis,2013,6.95,40001,auto
etios cross,2015,4.5,40588,auto
fortuner,2014,18.75,78000,auto
fortuner,2015,23.5,47000,auto
fortuner,2017,33.0,6000,auto
etios liva,2014,4.75,45000,auto
innova,2017,19.75,11000,auto
fortuner,2010,9.25,59000,auto
corolla altis,2011,4.35,88000,auto
corolla altis,2016,14.25,12000,auto
etios liva,2014,3.95,71000,auto
corolla altis,2011,4.5,45000,auto
corolla altis,2013,7.45,56001,auto
etios liva,2011,2.65,43000,auto
etios cross,2014,4.9,83000,auto
etios g,2015,3.95,36000,auto
corolla altis,2013,5.5,72000,auto
corolla,2004,1.5,135154,auto
corolla altis,2010,5.25,80000,auto
fortuner,2012,14.5,89000,auto
corolla altis,2016,14.73,23000,auto
etios gd,2015,4.75,40000,auto
innova,2017,23.0,15000,auto
innova,2015,12.5,38000,auto
innova,2005,3.49,197176,auto
camry,2006,2.5,142000,auto
land cruiser,2010,35.0,78000,auto
corolla altis,2012,5.9,56000,auto
etios liva,2013,3.45,47000,auto
etios g,2014,4.75,40000,auto
corolla altis,2009,3.8,62000,auto
innova,2014,11.25,58242,auto
innova,2005,3.51,75000,auto
fortuner,2015,23.0,40000,auto
corolla altis,2008,4.0,89000,auto
corolla altis,2012,5.85,72000,auto
innova,2016,20.75,29000,auto
corolla altis,2017,17.0,8700,auto
corolla altis,2013,7.05,45000,auto
fortuner,2010,9.65,50024,auto
Royal Enfield Thunder 500,2016,1.75,3000,auto
UM Renegade Mojave,2017,1.7,1400,auto
KTM RC200,2017,1.65,4000,auto
Bajaj Dominar 400,2017,1.45,1200,auto
Royal Enfield Classic 350,2017,1.35,4100,auto
KTM RC390,2015,1.35,21700,auto
Hyosung GT250R,2014,1.35,16500,auto
Royal Enfield Thunder 350,2013,1.25,15000,auto
Royal Enfield Thunder 350,2016,1.2,18000,auto
Royal Enfield Classic 350,2017,1.2,11000,auto
KTM RC200,2016,1.2,6000,auto
Royal Enfield Thunder 350,2016,1.15,8700,auto
KTM 390 Duke ,2014,1.15,7000,auto
Mahindra Mojo XT300,2016,1.15,35000,auto
Royal Enfield Classic 350,2015,1.15,17000,auto
Royal Enfield Classic 350,2015,1.11,17500,auto
Royal Enfield Classic 350,2013,1.1,33000,auto
Royal Enfield Thunder 500,2015,1.1,14000,auto
Royal Enfield Classic 350,2015,1.1,26000,auto
Royal Enfield Thunder 500,2013,1.05,5400,auto
Bajaj Pulsar RS200,2016,1.05,5700,auto
Royal Enfield Thunder 350,2011,1.05,6900,auto
Royal Enfield Bullet 350,2016,1.05,6000,auto
Royal Enfield Classic 350,2013,1.0,46500,auto
Royal Enfield Classic 500,2012,0.95,11500,auto
Royal Enfield Classic 500,2009,0.9,40000,auto
Bajaj Avenger 220,2017,0.9,1300,auto
Bajaj Avenger 150,2016,0.75,7000,auto
Honda CB Hornet 160R,2017,0.8,3000,auto
Yamaha FZ S V 2.0,2017,0.78,5000,auto
Honda CB Hornet 160R,2017,0.75,11000,auto
Yamaha FZ 16,2015,0.75,18000,auto
Bajaj Avenger 220,2017,0.75,3500,auto
Bajaj Avenger 220,2016,0.72,500,auto
TVS Apache RTR 160,2017,0.65,11800,auto
Bajaj Pulsar 150,2015,0.65,5000,auto
Honda CBR 150,2014,0.65,23500,auto
Hero Extreme,2013,0.65,16000,auto
Honda CB Hornet 160R,2016,0.6,15000,auto
Bajaj Avenger 220 dtsi,2015,0.6,16600,auto
Honda CBR 150,2013,0.6,32000,auto
Bajaj Avenger 150 street,2016,0.6,20000,auto
Yamaha FZ  v 2.0,2015,0.6,29000,auto
Yamaha FZ  v 2.0,2016,0.6,25000,auto
Bajaj Pulsar  NS 200,2014,0.6,25000,auto
TVS Apache RTR 160,2012,0.6,19000,auto
Hero Extreme,2014,0.55,15000,auto
Yamaha FZ S V 2.0,2015,0.55,58000,auto
Bajaj Pulsar 220 F,2010,0.52,45000,auto
Bajaj Pulsar 220 F,2016,0.51,24000,auto
TVS Apache RTR 180,2011,0.5,6000,auto
Hero Passion X pro,2016,0.5,31000,auto
Bajaj Pulsar NS 200,2012,0.5,13000,auto
Bajaj Pulsar NS 200,2013,0.5,45000,auto
Yamaha Fazer ,2014,0.5,8000,auto
Honda Activa 4G,2017,0.48,4300,auto
TVS Sport ,2017,0.48,15000,auto
Yamaha FZ S V 2.0,2015,0.48,23000,auto
Honda Dream Yuga ,2017,0.48,8600,auto
Honda Activa 4G,2017,0.45,4000,auto
Bajaj Avenger Street 220,2011,0.45,24000,auto
TVS Apache RTR 180,2014,0.45,23000,auto
Bajaj Pulsar NS 200,2012,0.45,14500,auto
Bajaj Avenger 220 dtsi,2010,0.45,27000,auto
Hero Splender iSmart,2016,0.45,14000,auto
Activa 3g,2016,0.45,500,auto
Hero Passion Pro,2016,0.45,1000,auto
TVS Apache RTR 160,2014,0.42,42000,auto
Honda CB Trigger,2013,0.42,12000,auto
Hero Splender iSmart,2015,0.4,14000,auto
Yamaha FZ S ,2012,0.4,5500,auto
Hero Passion Pro,2015,0.4,6700,auto
Bajaj Pulsar 135 LS,2014,0.4,13700,auto
Activa 4g,2017,0.4,1300,auto
Honda CB Unicorn,2015,0.38,38600,auto
Hero Honda CBZ extreme,2011,0.38,75000,auto
Honda Karizma,2011,0.35,30000,auto
Honda Activa 125,2016,0.35,24000,auto
TVS Jupyter,2014,0.35,19000,auto
Honda Karizma,2010,0.31,213000,auto
Hero Honda Passion Pro,2012,0.3,60000,auto
Hero Splender Plus,2016,0.3,50000,auto
Honda CB Shine,2013,0.3,30000,auto
Bajaj Discover 100,2013,0.27,21000,auto
Bajaj Pulsar 150,2008,0.25,26000,auto
Suzuki Access 125,2008,0.25,1900,auto
TVS Wego,2010,0.25,22000,auto
Honda CB twister,2013,0.25,32000,auto
Hero Glamour,2013,0.25,18000,auto
Hero Super Splendor,2005,0.2,55000,auto
Bajaj Pulsar 150,2008,0.2,60000,auto
Bajaj Discover 125,2012,0.2,25000,auto
Hero Hunk,2007,0.2,49000,auto
Hero  Ignitor Disc,2013,0.2,24000,auto
Hero  CBZ Xtreme,2008,0.2,50000,auto
Bajaj  ct 100,2015,0.18,35000,auto
Activa 3g,2008,0.17,500000,auto
Honda CB twister,2010,0.16,33000,auto
Bajaj Discover 125,2011,0.15,35000,auto
Honda CB Shine,2007,0.12,53000,auto
Bajaj Pulsar 150,2006,0.1,92233,auto
i20,2010,3.25,58000,auto
grand i10,2015,4.4,28200,auto
i10,2011,2.95,53460,auto
eon,2015,2.75,28282,auto
grand i10,2016,5.25,3493,auto
xcent,2017,5.75,12479,auto
grand i10,2015,5.15,34797,auto
i20,2017,7.9,3435,auto
grand i10,2015,4.85,21125,auto
i10,2012,3.1,35775,auto
elantra,2015,11.75,43535,auto
creta,2016,11.25,22671,auto
i20,2011,2.9,31604,auto
grand i10,2017,5.25,20114,auto
verna,2012,4.5,36100,auto
eon,2016,2.9,12500,auto
eon,2016,3.15,15000,auto
verna,2014,6.45,45078,auto
verna,2012,4.5,36000,auto
eon,2017,3.5,38488,auto
i20,2013,4.5,32000,auto
i20,2014,6.0,77632,auto
verna,2015,8.25,61381,auto
verna,2013,5.11,36198,auto
i10,2011,2.7,22517,auto
grand i10,2015,5.25,24678,auto
i10,2011,2.55,57000,auto
verna,2012,4.95,60000,auto
i20,2012,3.1,52132,auto
verna,2013,6.15,45000,auto
verna,2017,9.25,15001,auto
elantra,2015,11.45,12900,auto
grand i10,2013,3.9,53000,auto
grand i10,2015,5.5,4492,auto
verna,2017,9.1,15141,auto
eon,2016,3.1,11849,auto
creta,2015,11.25,68000,auto
verna,2013,4.8,60241,auto
eon,2012,2.0,23709,auto
verna,2012,5.35,32322,auto
xcent,2015,4.75,35866,auto
xcent,2014,4.4,34000,auto
i20,2016,6.25,7000,auto
verna,2013,5.95,49000,auto
verna,2012,5.2,71000,auto
i20,2012,3.75,35000,auto
verna,2015,5.95,36000,auto
i10,2013,4.0,30000,auto
i20,2016,5.25,17000,auto
creta,2016,12.9,35934,auto
city,2013,5.0,56701,auto
brio,2015,5.4,31427,auto
city,2014,7.2,48000,auto
city,2013,5.25,54242,auto
brio,2012,3.0,53675,auto
city,2016,10.25,49562,auto
city,2015,8.5,40324,auto
city,2015,8.4,25000,auto
amaze,2014,3.9,36054,auto
city,2016,9.15,29223,auto
brio,2016,5.5,5600,auto
amaze,2015,4.0,40023,auto
jazz,2016,6.6,16002,auto
amaze,2015,4.0,40026,auto
jazz,2017,6.5,21200,auto
amaze,2014,3.65,35000,auto
city,2016,8.35,19434,auto
brio,2017,4.8,19000,auto
city,2015,6.7,18828,auto
city,2011,4.1,69341,auto
city,2009,3.0,69562,auto
city,2015,7.5,27600,auto
jazz,2010,2.25,61203,auto
brio,2014,5.3,16500,auto
city,2016,10.9,30753,auto
city,2015,8.65,24800,auto
city,2015,9.7,21780,auto
jazz,2016,6.0,4000,auto
city,2014,6.25,40126,auto
brio,2015,5.25,14465,auto
city,2006,2.1,50456,auto
city,2014,8.25,63000,auto
city,2016,8.99,9010,auto
brio,2013,3.5,9800,auto
jazz,2016,7.4,15059,auto
jazz,2016,5.65,28569,auto
amaze,2015,5.75,44000,auto
city,2015,8.4,34000,auto
city,2016,10.11,10980,auto
amaze,2014,4.5,19000,auto
brio,2015,5.4,31427,auto
jazz,2016,6.4,12000,auto
city,2010,3.25,38000,auto
amaze,2014,3.75,33019,auto
city,2015,8.55,60076,auto
city,2016,9.5,33988,auto
brio,2015,4.0,60000,auto
city,2009,3.35,87934,auto
city,2017,11.5,9000,auto
brio,2016,5.3,5464,auto
